id,name,country,lon,lat
1650077,Banyuwangi,ID,114.357552,-8.2325
1625822,Surabaya,ID,112.7508,-7.2492
1835848,Seoul,KR,126.9778,37.5683
5128581,New York,US,-74.006,40.7143
292223,Dubai,AE,55.3047,25.2582
1850147,Tokyo,JP,139.6917,35.6895
360630,Cairo,EG,31.2497,30.0626
1273294,Delhi,IN,77.2167,28.6667
3435910,Buenos Aires,AR,-58.3772,-34.6132
1816670,Beijing,CN,116.3972,39.9075
3448439,Sao Paulo,BR,-46.6361,-23.5475
1796236,Shanghai,CN,121.4581,31.2222
745044,Istanbul,TR,28.9497,41.0138
2968815,Paris,FR,2.3488,48.8534
3369157,Cape Town,ZA,18.4232,-33.9258
2147714,Sydney,AU,151.2073,-33.8679
993800,Johannesburg,ZA,28.0436,-26.2023
1853909,Osaka,JP,135.5022,34.6937
1264527,Mumbai,IN,72.8479,19.0144
344979,Addis Ababa,ET,38.7469,9.0249
745042,Ankara,TR,32.8536,39.9199
6167865,Toronto,CA,-79.4163,43.7001
2643743,London,GB,-0.1257,51.5085
1701668,Manila,PH,120.9822,14.6042
3871336,Santiago,CL,-70.6483,-33.4569
524901,Moscow,RU,37.6156,55.7522
1277333,Bangalore,IN,77.6033,12.9762
3067696,Prague,CZ,14.4208,50.088
1856057,Nagoya,JP,136.9067,35.1815
1261481,New Delhi,IN,77.2311,28.6139
1733046,Kuala Lumpur,MY,101.6865,3.1412
1880252,Singapore,SG,103.8501,1.2897
6160752,Ottawa,CA,-75.6981,45.4112
2174003,Brisbane,AU,153.0281,-27.4679
